gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
875069810	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:7011835	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	SE	Värnanäs 700m VNV-ut strax N om Halltorpsån, Sm	Småland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	56.50035	16.14193	100.0						2013-10-25	25	10	2013	8179907	8179907	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	7011835				CC0_1_0	Niklas Lönnell	Niklas Lönnell			2026-04-18T15:14:53.442Z		
875040473	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:7004615	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	SE	Sättuna hög 400 m SV-ut, Ög	Östergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.45566	15.56476	25.0						2013-10-18	18	10	2013	8179907	8179907	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	7004615				CC0_1_0	Niklas Lönnell	Niklas Lönnell			2026-04-18T15:24:05.941Z		
875040321	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:7004617	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	SE	Sättuna hög 400 m SV-ut, dellokal 2, Ög	Östergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.45502	15.56442	25.0						2013-10-18	18	10	2013	8179907	8179907	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	7004617				CC0_1_0	Niklas Lönnell	Niklas Lönnell			2026-04-18T15:24:06.981Z		
855982923	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:335180	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	SE	(kyrkan), Öl	Öland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	56.87964	16.6565	1000.0						1911-01-01/1911-12-31			1911	8179907	8179907	PRESERVED_SPECIMEN	SLU Artdatabanken	Artportalen	335180				CC0_1_0	Tommy Knutsson	Via Tommy Knutsson			2026-04-18T15:25:40.537Z		INSTITUTION_MATCH_NONE
855901418	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:335577	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	SE	Ubbybäcken, Upl	Uppland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	59.94323	17.40732	50.0						1999-05-02	2	5	1999	8179907	8179907	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	335577				CC0_1_0	Henrik Weibull	Henrik Weibull, Karin Wiklund, Henry Åkerström			2026-04-18T15:21:02.424Z		
855103425	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:335186	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	SE	Wik slott, 400 m N om slottet nära allén, Upl	Uppland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	59.74331	17.45734	100.0						1997-10-21	21	10	1997	8179907	8179907	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	335186				CC0_1_0	Henrik Weibull	Henrik Weibull			2026-04-18T15:25:43.211Z		
855101595	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:335576	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	SE	Pustnäs, strax S om gården, Upl	Uppland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	59.79973	17.66948	100.0						1997-11-07	7	11	1997	8179907	8179907	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	335576				CC0_1_0	Henrik Weibull	Henrik Weibull			2026-04-18T15:20:46.832Z		
854939720	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:335580	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	SE	Dalbyviken, norra sidan, Upl	Uppland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	59.76697	17.56883	10.0						2011-08-06	6	8	2011	8179907	8179907	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	335580				CC0_1_0	Karin Wiklund	Karin Wiklund			2026-04-18T15:23:08.575Z		
854925518	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:335579	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	SE	Dalkarlskärret, Upl	Uppland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	59.77589	17.58423	10.0						2011-07-31	31	7	2011	8179907	8179907	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	335579				CC0_1_0	Karin Wiklund	Karin Wiklund			2026-04-18T15:20:47.287Z		
852758778	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:335178	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	SE	KAGA, Ög	Östergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.45403	15.53036	5000.0						1887-01-01/1888-01-01				8179907	8179907	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	335178				CC0_1_0	Länsstyrelsen Östergötland	Via Tommy Karlsson			2026-04-18T15:25:19.447Z		
